player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jake Haener,60596,QB,NO,4,60.7,28,29,9.3,2.79,0,2,6.5,48.3,14,0,17,17.6,36,3,8,20,79.8,61.0,60.0,61.5,1,0,38,0,11.8,79.2,5.6,2,4,0,0,1,0,0.0,177,6.1
Brandon Allen,10835,QB,SF,1,73.1,26,29,7.5,2.8,0,0,0.0,58.6,17,0,12,10.5,32,2,8,28,20.2,48.0,49.3,54.4,0,1,32,0,16.7,76.7,6.3,2,1,0,3,1,3,9.4,199,6.9
Desmond Ridder,55086,QB,LV,2,77.3,22,26,5.5,2.6,1,1,3.7,61.5,16,0,17,5.9,34,1,7,23,27.2,39.8,41.6,54.6,1,0,35,0,35.3,88.3,17.6,6,2,0,2,1,2,5.7,138,5.3
Tim Boyle,21956,QB,NYG,2,62.5,24,26,7.5,2.37,0,0,0.0,57.7,15,0,7,0.0,29,0,8,21,77.6,57.5,56.3,62.1,0,0,31,0,14.3,74.7,3.4,1,2,1,1,0,0,0.0,153,5.9
Marcus Mariota,9435,QB,WAS,2,84.0,25,26,9.9,3.34,0,3,10.0,73.1,19,0,7,9.5,29,2,14,32,80.1,81.2,87.0,53.9,0,0,33,0,14.3,121.2,3.4,1,2,0,1,2,0,0.0,203,7.8
Dorian Thompson-Robinson,83574,QB,CLV,2,60.0,20,25,5.6,2.45,1,0,0.0,44.0,11,0,9,8.3,27,1,3,8,27.0,32.2,26.7,88.5,1,2,30,1,11.1,19.1,3.7,1,0,0,3,0,3,10.0,82,3.3
Davis Mills,52269,QB,HST,2,66.7,12,13,8.0,2.29,1,0,0.0,53.8,7,0,3,12.5,14,1,4,13,73.2,63.2,62.7,,0,0,14,0,33.3,72.3,7.1,1,0,0,0,0,0,0.0,79,6.1
Drew Lock,39517,QB,NYG,2,50.0,8,9,8.6,2.55,1,0,0.0,44.4,4,0,3,0.0,11,0,1,21,18.7,27.5,25.4,65.9,0,0,11,0,33.3,51.6,9.1,1,1,0,0,0,2,18.2,9,1.0
Hendon Hooker,60593,QB,DET,3,77.8,9,9,5.6,2.82,0,0,0.0,66.7,6,0,5,14.3,11,1,3,11,74.1,74.1,72.8,63.8,0,0,11,0,20.0,86.3,9.1,1,1,0,0,0,0,0.0,62,6.9
Tyrod Taylor,6332,QB,NYJ,1,75.0,8,8,4.6,2.6,0,0,0.0,75.0,6,0,3,0.0,9,0,3,22,71.4,66.1,59.8,65.6,0,0,10,0,0.0,122.9,0.0,0,1,0,0,1,0,0.0,36,4.5
Trey Lance,91399,QB,DAL,1,66.7,6,6,7.3,2.99,0,0,0.0,66.7,4,0,4,0.0,8,0,1,9,73.1,55.1,49.2,65.0,0,1,8,0,50.0,32.6,25.0,2,0,0,0,0,1,12.5,21,3.5
Michael Penix Jr.,82134,QB,ATL,2,75.0,4,5,13.5,2.55,0,1,20.0,60.0,3,0,2,0.0,6,0,3,2,68.9,92.1,91.4,,0,0,6,0,50.0,83.8,16.7,1,0,0,1,0,0,0.0,38,7.6
Taysom Hill,12112,TE,NO,3,50.0,4,4,13.5,3.65,0,0,0.0,50.0,2,0,2,0.0,4,0,1,20,44.3,74.9,38.7,90.8,0,1,4,0,0.0,26.0,0.0,0,0,0,0,0,1,25.0,21,5.3
Kenny Pickett,60515,QB,PHI,2,50.0,2,3,5.5,2.6,0,0,0.0,33.3,1,0,4,0.0,4,0,0,24,71.3,54.0,44.6,65.0,1,0,4,0,25.0,42.4,25.0,1,0,0,0,0,0,0.0,5,1.7
Mitch Trubisky,11757,QB,BUF,2,66.7,3,3,6.0,1.87,0,0,0.0,66.7,2,0,0,0.0,3,0,0,4,72.8,29.6,24.6,61.9,0,0,3,0,,70.1,0.0,0,0,0,0,0,1,33.3,5,1.7
Johnny Hekker,7252,P,CAR,2,0.0,2,2,10.5,2.15,0,0,0.0,0.0,0,0,0,,2,0,0,5,63.6,47.9,50.7,,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Taylor Heinicke,9896,QB,LAC,1,100.0,2,2,7.5,2.64,0,0,0.0,100.0,2,0,3,0.0,5,0,1,27,68.0,66.0,65.2,,0,0,5,0,100.0,116.7,60.0,3,0,0,0,0,0,0.0,24,12.0
Courtland Sutton,48164,WR,DEN,2,100.0,2,2,9.0,2.9,0,0,0.0,100.0,2,0,1,0.0,2,0,2,10,42.7,72.8,78.4,,0,0,2,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,30,15.0
Nick Mullens,12282,QB,MIN,2,100.0,2,2,12.0,2.15,0,0,0.0,100.0,2,0,1,0.0,2,0,2,18,66.1,76.9,75.5,60.0,0,0,2,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,38,19.0
Bryan Anger,7072,P,DAL,2,50.0,2,2,6.5,1.95,0,0,0.0,50.0,1,0,0,0.0,2,0,0,9,63.6,44.6,44.8,,0,0,2,0,,56.3,0.0,0,0,0,0,0,1,50.0,4,2.0
Malik Nabers,146759,WR,NYG,1,,0,1,,4.3,0,0,0.0,0.0,0,0,1,,1,0,0,21,48.8,79.3,60.0,50.7,0,0,1,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Josh Johnson,4474,QB,BLT,1,100.0,1,1,0.0,2.8,0,0,0.0,100.0,1,0,1,0.0,1,0,0,3,68.2,52.0,60.4,55.6,0,0,1,0,0.0,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
Stefon Diggs,9579,WR,HST,2,100.0,1,1,-4.0,4.15,0,0,0.0,100.0,1,0,0,0.0,2,0,2,13,79.7,79.0,60.4,64.9,0,0,2,2,,118.8,0.0,0,1,0,0,0,0,0.0,13,13.0
Tyler Boyd,10689,WR,TEN,1,0.0,1,1,25.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,31,76.9,59.5,51.2,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Miles Killebrew,10745,S,PIT,1,100.0,1,1,17.0,1.1,0,0,0.0,0.0,0,0,0,100.0,1,1,0,25,60.4,73.1,68.8,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Riley Dixon,10862,P,DEN,1,100.0,1,1,-4.0,0.9,0,0,0.0,100.0,1,0,0,0.0,1,0,0,10,60.4,61.3,60.4,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Joe Mixon,11803,HB,HST,1,0.0,1,1,18.0,2.8,0,0,0.0,0.0,0,0,0,,1,0,0,13,90.7,74.9,54.9,73.8,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Kendrick Bourne,12270,WR,NE,1,0.0,1,1,0.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,19,73.9,59.4,57.7,,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Kyle Allen,26152,QB,PIT,1,100.0,1,1,13.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,25,60.4,73.2,71.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0
Jack Fox,34735,P,DET,1,100.0,1,1,15.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,60.4,72.6,68.8,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
AJ Cole,36038,P,LV,1,100.0,1,1,4.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,23,60.4,70.3,66.9,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,34,34.0
David Montgomery,45719,HB,DET,1,100.0,1,1,11.0,2.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,59.0,84.2,69.5,80.2,0,0,1,1,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
Darnell Mooney,48236,WR,ATL,1,,0,1,,4.2,0,0,0.0,0.0,0,0,1,,1,0,0,2,79.3,74.3,60.0,,0,0,1,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
DJ Moore,48267,WR,CHI,1,0.0,1,1,36.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,6,81.5,68.8,59.7,70.5,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Justin Jefferson,61398,WR,MIN,2,100.0,1,1,-4.0,5.85,0,0,0.0,100.0,1,1,1,0.0,2,0,1,18,45.5,84.6,60.3,58.3,0,0,2,2,0.0,118.8,0.0,0,1,0,0,0,0,0.0,22,22.0
Tutu Atwell,77965,WR,LA,1,0.0,1,1,35.0,3.4,0,0,0.0,0.0,0,0,0,,1,0,0,26,77.2,73.2,59.7,51.7,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Amon-Ra St. Brown,84470,WR,DET,1,100.0,1,1,5.0,3.9,0,0,0.0,100.0,1,1,0,0.0,1,0,1,11,82.3,87.9,60.5,56.6,0,0,1,2,,135.4,0.0,0,0,0,0,1,0,0.0,7,7.0
Jaxon Smith-Njigba,129758,WR,SEA,1,100.0,1,1,33.0,3.8,0,0,0.0,100.0,1,0,1,0.0,1,0,1,29,48.9,78.2,59.7,62.8,0,0,1,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,35,35.0
Adonai Mitchell,146712,WR,IND,1,100.0,1,1,-6.0,3.5,0,0,0.0,100.0,1,0,0,0.0,1,0,1,14,26.0,62.0,60.0,55.4,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
