player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Josh Jones,26634,T,BLT,1,100.0,0,3,64.3,76.7,59.7,0,0,6,100.0,100.0,100.0,0,0,0,9,0,0,2,9,6,6,0,7,3,0
Kenny Pickett,60515,QB,PHI,1,75.0,0,24,54.0,,60.0,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,12,0,2,0,0,9,0
Tyler Scott,123578,WR,CHI,5,69.2,0,6,54.6,,60.0,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,13,0,4,0,0,9,0
Robert Tonyan,12193,TE,MIN,5,60.0,0,18,50.8,,56.4,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,15,0,6,0,0,9,13
Brandon Johnson,40666,WR,PIT,3,47.4,0,25,65.2,,61.5,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,19,0,10,0,0,9,0
Kendrick Green,56642,G,HST,2,100.0,0,13,65.1,73.5,63.6,0,0,3,100.0,100.0,100.0,0,0,0,9,0,2,0,9,3,3,3,0,6,0
Jalen Virgil,41991,WR,BUF,1,81.8,0,4,58.0,,60.1,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,11,0,2,0,0,9,0
Mason Kinsey,115664,WR,TEN,1,100.0,0,31,61.1,,61.3,0,0,0,,,,0,0,0,8,0,0,0,8,0,0,0,0,8,0
Cordarrelle Patterson,7810,HB,PIT,4,17.8,0,25,66.5,67.1,59.7,0,0,1,4.8,4.5,100.0,1,0,0,8,0,0,0,45,1,22,0,0,7,0
Julius Chestnut,109239,HB,TEN,4,30.8,0,31,71.4,83.1,59.3,0,0,5,41.7,41.7,100.0,0,0,0,8,0,0,0,26,5,12,0,0,3,0
Jeff Wilson Jr.,29413,HB,MIA,4,21.1,0,17,60.0,79.9,60.1,0,0,3,12.5,12.5,100.0,0,0,0,8,0,0,0,38,3,24,0,0,5,0
Tanner Hudson,66924,TE,CIN,4,30.8,0,7,42.7,48.8,60.0,0,0,1,5.3,5.3,100.0,0,0,0,8,0,0,0,26,1,19,0,0,7,8
Frank Crum,75860,T,DEN,2,100.0,0,10,59.3,66.2,58.2,0,0,1,100.0,100.0,100.0,0,0,0,8,0,0,3,8,1,1,0,3,7,2
Jaylen Wright,146934,HB,MIA,6,8.6,0,17,77.9,80.8,60.0,0,0,5,9.8,9.3,100.0,0,0,0,8,0,0,0,93,5,54,0,0,3,0
Jaheim Bell,124225,TE,NE,4,50.0,0,19,47.5,62.3,48.6,0,0,1,11.1,11.1,100.0,0,0,0,8,0,0,0,16,1,9,0,0,7,8
Robbie Chosen,11254,WR,MIA,2,27.6,0,17,51.8,,53.5,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,29,0,21,0,0,8,0
Will Mallory,77888,TE,IND,5,15.4,0,14,49.8,,35.7,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,52,0,44,0,0,8,8
Jordan Mims,57209,HB,NO,4,32.0,0,20,61.5,50.5,60.0,1,0,3,21.4,20.0,83.3,0,1,0,8,0,0,0,25,3,15,0,0,5,0
Trishton Jackson,41247,WR,MIN,2,80.0,0,18,57.8,,61.2,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,10,0,2,0,0,8,0
Anthony Gould,97078,WR,IND,3,72.7,0,14,56.7,,60.2,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,11,0,3,0,0,8,0
Kendre Miller,123091,HB,NO,2,23.3,0,20,71.9,35.5,60.0,0,0,6,33.3,33.3,100.0,0,0,0,7,0,0,0,30,6,18,0,0,1,0
Isiah Pacheco,83747,HB,KC,2,8.1,0,16,67.0,77.7,60.0,0,0,3,7.0,6.5,100.0,0,0,0,7,0,0,0,86,3,46,0,0,4,0
Jaelon Darden,61522,WR,CLV,3,31.8,0,8,54.7,,60.3,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,22,0,15,0,0,7,0
Ryan Flournoy,159617,WR,DAL,3,50.0,0,9,44.1,,54.2,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,14,0,7,0,0,7,0
Zay Jones,11792,WR,ARZ,2,25.0,0,1,58.4,,52.0,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,28,0,21,0,0,7,0
Anthony Firkser,51837,TE,NYJ,3,77.8,0,22,54.4,70.4,55.7,0,0,1,33.3,50.0,100.0,0,0,0,7,0,0,0,9,2,4,0,0,5,5
Tylan Grable,109425,T,BUF,2,100.0,0,4,51.6,69.9,46.8,0,0,1,100.0,100.0,100.0,0,0,0,7,0,0,7,7,1,1,0,0,6,0
Ainias Smith,99207,WR,PHI,1,87.5,0,24,57.8,,58.0,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,8,0,1,0,0,7,0
Dorian Thompson-Robinson,83574,QB,CLV,1,15.8,0,8,44.7,,60.0,0,0,0,0.0,0.0,,1,0,0,6,0,0,0,38,0,29,0,0,6,0
Reed Blankenship,56065,S,PHI,2,100.0,0,24,60.0,,60.0,0,0,0,,,,1,0,0,6,0,0,0,6,0,0,0,0,6,0
Mike Caliendo,41446,G,KC,3,100.0,0,16,57.3,64.9,57.6,0,0,1,100.0,100.0,100.0,0,0,0,6,0,0,0,6,1,1,0,0,5,6
Cooper Rush,12324,QB,DAL,3,27.3,0,9,47.7,,60.0,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,22,0,14,0,0,6,0
Ben Cleveland,41696,C,BLT,5,100.0,0,3,52.8,68.3,53.0,0,0,1,100.0,100.0,100.0,0,0,0,6,0,0,0,6,1,1,0,1,5,5
Foster Sarell,52272,T,LAC,1,100.0,0,27,59.6,75.6,56.3,0,0,2,100.0,100.0,100.0,0,0,0,6,0,0,6,6,2,2,0,0,4,0
Michael Penix Jr.,82134,QB,ATL,1,85.7,0,2,73.0,,60.0,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,7,0,1,0,0,6,0
Malachi Corley,66272,WR,NYJ,3,75.0,0,22,67.8,66.1,82.2,0,0,1,33.3,33.3,100.0,0,0,0,6,0,0,0,8,1,3,0,0,5,0
Casey Washington,101710,WR,ATL,1,85.7,0,2,83.1,,60.6,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,7,0,1,0,0,6,0
Tyrell Shavers,61107,WR,BUF,1,37.5,0,4,53.1,,58.0,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,16,0,10,0,0,6,0
Blake Corum,129574,HB,LA,4,18.8,0,26,70.9,44.5,60.0,0,0,4,44.4,40.0,100.0,0,0,0,6,0,0,0,32,4,10,0,0,2,0
Taylor Heinicke,9896,QB,LAC,1,50.0,0,27,66.0,,60.0,0,0,0,0.0,0.0,,0,0,0,5,0,0,0,10,0,5,0,0,5,0
John FitzPatrick,83974,TE,GB,1,83.3,0,12,52.7,,55.3,0,0,0,0.0,0.0,,0,0,0,5,0,0,0,6,0,1,0,0,5,5
Minkah Fitzpatrick,51206,S,PIT,3,100.0,0,25,60.0,,60.0,0,0,0,,,,1,0,0,5,0,0,0,5,0,0,0,0,5,0
J.J. Taylor,25512,HB,HST,2,19.2,0,13,51.2,30.5,,0,0,5,27.8,26.3,100.0,0,0,0,5,0,0,0,26,5,19,0,0,0,0
Rodney Williams,63718,TE,PIT,3,100.0,0,25,60.0,,60.0,0,0,0,,,,0,0,0,5,0,0,0,5,0,0,0,0,5,5
Javon Baker,123904,WR,NE,1,83.3,0,19,58.1,,60.7,0,0,0,0.0,0.0,,0,0,0,5,0,0,0,6,0,1,0,0,5,0
Pat Surtain II,83119,CB,DEN,2,100.0,1,10,60.0,,60.0,0,0,0,,,,6,0,0,5,0,0,0,5,0,0,0,0,5,0
Dallin Holker,83946,TE,NO,3,38.5,0,20,51.9,66.3,57.9,0,0,1,11.1,11.1,100.0,0,0,0,5,0,0,0,13,1,9,0,0,4,9
Clayton Tune,77652,QB,ARZ,2,55.6,0,1,29.5,,60.0,0,0,0,,,,0,0,0,5,0,0,0,9,0,0,0,0,5,0
E.J. Jenkins,109834,TE,PHI,2,100.0,0,24,50.2,70.2,51.3,0,0,1,100.0,100.0,100.0,0,0,0,5,0,0,0,5,1,1,0,0,4,5
British Brooks,77714,HB,HST,2,55.6,0,13,56.5,64.9,65.2,0,0,1,25.0,25.0,100.0,0,0,0,5,0,0,0,9,1,4,0,0,4,3
Avery Williams,42873,HB,ATL,2,100.0,0,2,60.0,,60.0,0,0,0,,,,0,0,0,5,0,0,0,5,0,0,0,0,5,0
Brayden Willis,77917,TE,SF,2,100.0,0,28,55.7,,55.6,0,0,0,,,,0,0,0,5,0,0,0,5,0,0,0,0,5,4
Josh Johnson,4474,QB,BLT,2,83.3,0,3,61.3,,60.0,0,0,0,0.0,0.0,,0,0,0,5,0,0,0,6,0,1,0,0,5,0
Mac Jones,60323,QB,JAX,2,29.4,0,15,26.1,,60.0,0,0,0,0.0,0.0,,0,0,0,5,0,0,0,17,0,12,0,0,5,0
Kimani Vidal,123727,HB,LAC,3,10.4,0,27,64.6,62.1,60.0,0,0,4,12.9,11.8,75.0,0,1,1,5,0,0,0,48,4,34,0,0,1,0
Roman Wilson,129604,WR,PIT,1,80.0,0,25,56.7,,53.9,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,0
Hassan Haskins,83701,HB,LAC,5,28.6,0,27,69.8,19.4,60.0,0,1,2,50.0,50.0,75.0,0,1,0,4,0,0,0,14,2,4,0,0,2,0
Dameon Pierce,83659,HB,HST,4,10.8,0,13,74.8,41.7,60.0,0,0,2,9.5,9.5,100.0,0,0,0,4,0,0,0,37,2,21,0,0,2,0
Colson Yankoff,83589,TE,WAS,2,66.7,0,32,56.5,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,6,0,2,0,0,4,2
Deonte Harty,91470,WR,BLT,3,66.7,0,3,56.0,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,6,0,2,0,0,4,0
Sione Vaki,158505,HB,DET,6,36.4,0,11,68.1,,57.7,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,11,0,6,0,0,4,0
Jamari Thrash,97399,WR,CLV,1,57.1,0,8,55.9,,58.8,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,7,0,3,0,0,4,0
Solomon Thomas,11758,DI,NYJ,2,80.0,1,22,57.9,71.3,58.1,0,0,1,50.0,50.0,100.0,2,0,0,4,0,0,0,5,1,2,0,0,3,1
David Bell,97989,WR,CLV,1,44.4,0,8,78.7,,81.4,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,9,0,5,0,0,4,0
Kenny McIntosh,99158,HB,SEA,3,30.8,0,29,73.5,74.5,60.0,0,0,2,33.3,33.3,100.0,0,0,0,4,0,0,0,13,2,6,0,0,2,0
Matt Lee,98544,C,CIN,2,100.0,0,7,42.1,,40.4,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,4
Deuce Vaughn,122624,HB,DAL,4,19.0,0,9,56.1,3.6,60.0,0,0,1,11.1,9.1,100.0,0,0,0,4,0,0,0,21,1,11,0,0,3,0
James Proche II,48037,WR,CLV,4,40.0,0,8,57.7,,60.0,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,10,0,6,0,0,4,0
Jonathan Ward,25859,HB,PIT,3,40.0,0,25,72.9,75.7,60.0,0,0,1,50.0,50.0,100.0,1,0,0,4,0,0,0,10,1,2,0,0,3,0
Royce Newman,41746,T,TB,1,100.0,0,30,60.0,,59.7,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,3,3,0
Olusegun Oluwatimi,98581,C,SEA,1,100.0,0,29,60.1,,59.9,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Winston Reid,63354,LB,CLV,1,100.0,0,8,59.7,,59.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,1
Erik Ezukanma,78148,WR,MIA,1,27.3,0,17,54.6,,60.1,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,11,0,8,0,0,3,0
Brycen Tremayne,84425,WR,WAS,1,60.0,0,32,59.1,,59.9,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Darian Kinnard,51789,G,PHI,1,100.0,0,24,59.0,,59.0,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0
Montrell Washington,64310,WR,KC,1,60.0,0,16,57.4,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Audric Estime,147476,HB,DEN,4,18.8,0,10,40.5,67.1,60.0,0,0,1,33.3,25.0,100.0,0,0,0,3,0,0,0,16,1,4,0,0,2,0
Jaxson Kirkland,60215,T,CIN,1,100.0,0,7,49.3,,50.3,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,3
Tyrod Taylor,6332,QB,NYJ,1,23.1,0,22,66.1,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,13,0,10,0,0,3,0
Matt Goncalves,99680,T,IND,1,100.0,0,14,74.4,,81.6,0,0,0,,,,0,0,0,3,0,1,0,3,0,0,0,1,3,1
Jake Browning,46401,QB,CIN,1,100.0,0,7,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Lecitus Smith,61069,G,NE,1,100.0,0,19,58.7,,58.2,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Raheem Blackshear,57385,HB,CAR,2,60.0,0,5,48.8,7.5,60.0,0,1,1,33.3,33.3,50.0,0,1,0,3,0,0,0,5,1,3,0,0,2,0
Calvin Throckmorton,28238,G,DEN,2,100.0,0,10,42.3,62.1,43.5,0,0,1,100.0,100.0,100.0,0,0,0,3,0,2,0,3,1,1,0,0,2,0
Max Mitchell,81707,T,NYJ,1,100.0,0,22,60.0,64.9,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,0,2,3
Irvin Charles,28304,WR,NYJ,4,60.0,0,22,54.3,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,2,0,0,3,0
Jamison Crowder,9538,WR,WAS,2,25.0,0,32,55.5,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,12,0,9,0,0,3,0
Ben Niemann,51099,LB,DET,2,100.0,0,11,60.0,62.7,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Jack Campbell,101515,LB,DET,2,100.0,0,11,60.0,62.7,60.0,0,0,1,100.0,100.0,100.0,1,0,0,2,0,0,0,2,1,1,0,0,1,0
Jon Rhattigan,57718,LB,CAR,2,100.0,0,5,60.0,84.4,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
Trevin Wallace,146747,LB,CAR,2,100.0,0,5,60.0,80.4,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
JJ Jansen,4712,LS,CAR,2,100.0,0,5,60.0,75.9,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
Devin Culp,84080,TE,TB,2,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,1
Tanner Conner,22777,TE,MIA,4,12.5,0,17,55.1,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,16,0,14,0,0,2,2
Davis Mills,52269,QB,HST,2,12.5,0,13,63.2,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,16,0,14,0,0,2,0
Justin Shorter,84376,WR,LV,2,40.0,0,23,53.7,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,5,0,3,0,0,2,2
Ben Skowronek,27948,WR,PIT,1,33.3,0,25,56.7,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,6,0,4,0,0,2,0
Claudin Cherelus,52094,LB,CAR,2,100.0,0,5,60.0,88.8,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
Hogan Hatten,102135,LS,DET,2,100.0,0,11,60.0,61.5,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Tyler Badie,83714,HB,DEN,3,9.5,0,10,62.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,21,0,7,0,0,2,0
Thomas Incoom,145694,ED,CAR,2,100.0,0,5,60.0,84.4,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
Bryce Ford-Wheaton,78127,WR,NYG,2,100.0,0,21,60.0,36.3,60.0,0,1,1,100.0,100.0,50.0,0,1,0,2,0,0,0,2,1,1,0,0,1,0
Malcolm Rodriguez,60731,LB,DET,2,100.0,0,11,60.0,62.7,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Dalvin Cook,11796,HB,DAL,1,11.8,0,9,53.6,70.4,,0,0,2,18.2,18.2,100.0,0,0,0,2,0,0,0,17,2,11,0,0,0,0
Leo Chenal,101463,LB,KC,2,66.7,0,16,56.5,,59.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
Luke Fortner,42028,C,JAX,1,100.0,0,15,60.0,,59.6,0,0,0,,,,0,0,0,2,2,0,0,2,0,0,0,0,2,0
Isaiah Williams,97156,WR,DET,1,40.0,0,11,60.0,,58.2,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,5,0,3,0,0,2,0
Patrick Taylor,40448,HB,SF,2,9.5,0,28,59.5,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,21,0,10,0,0,2,0
Drew Lock,39517,QB,NYG,1,16.7,0,21,26.8,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,12,0,10,0,0,2,0
Nick Muse,61079,TE,MIN,1,100.0,0,18,59.8,,59.5,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Trenton Gill,60295,P,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Christian Rozeboom,49862,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0
John Ross,11764,WR,PHI,1,8.3,0,24,55.9,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,12,0,11,0,0,1,0
Evan Hull,97302,HB,IND,1,100.0,0,14,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Kindle Vildor,49346,CB,DET,2,50.0,0,11,58.6,,60.0,0,0,0,0.0,0.0,,1,0,0,1,0,0,0,2,0,1,0,0,1,0
Jammie Robinson,98836,S,CAR,1,100.0,0,5,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Charles Woods,89148,CB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Zach Triner,11518,LS,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Keenan Isaac,86972,CB,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Evan Neal,99063,T,NYG,1,100.0,0,21,60.0,62.1,,0,0,0,,100.0,,0,0,0,1,0,0,0,1,1,1,0,0,0,1
Nazeeh Johnson,42553,CB,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Jeff Driskel,10841,QB,WAS,1,100.0,0,32,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Jaylen Johnson,84191,WR,LAC,1,100.0,0,27,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Sam Hubbard,48457,ED,CIN,1,100.0,0,7,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1
Kaevon Merriweather,83257,S,TB,1,100.0,1,30,60.0,,60.0,0,0,0,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Matt Araiza,82642,P,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Jha'Quan Jackson,101135,WR,TEN,4,14.3,0,31,84.1,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,7,0,6,0,0,1,0
